"Date","Title","Dev Gross","Paying share","ARPPU","New paying users","Paying users","DAU"
,"The Tribez",22800,0.64,14,270,1446,225904
,"Paradise Island 2",5302,0.528,8,185,432,81755
,"Mystery Manor",82,0.799,12,4,10,1252
"01.02.2017",,69561,0.975,13,1135,4935,506310
,"Guns of Boom",218,0.094,7,15,31,32884
,"Airport City",20818,1.06,19,349,1007,95022
,"Mirrors of Albion",13872,2.55,7,291,1948,76396
,"The Tribez",24809,0.663,15,278,1487,224165
,"Paradise Island 2",9774,0.593,18,201,454,76618
,"Mystery Manor",70,0.653,11,1,8,1225
"02.02.2017",,71019,0.923,13,1048,4677,506914
,"Guns of Boom",281,0.074,12,15,24,32580
,"Airport City",20745,1.059,17,330,1095,103352
,"Mirrors of Albion",13528,1.915,9,240,1469,76707
,"The Tribez",21960,0.662,13,277,1476,222956
,"Paradise Island 2",14433,0.859,18,184,602,70086
,"Mystery Manor",72,0.892,8,2,11,1233
"03.02.2017",,132974,1.511,15,1328,7587,502004
,"Guns of Boom",441,0.087,15,13,30,34409
,"Airport City",33922,1.884,15,567,1939,102915
,"Mirrors of Albion",18088,1.935,12,192,1491,77069
,"The Tribez",57442,1.364,16,367,3082,226016
,"Paradise Island 2",22864,1.713,17,188,1033,60312
,"Mystery Manor",216,0.935,19,1,12,1283
"04.02.2017",,135782,1.63,14,1556,8447,518245
,"Guns of Boom",435,0.097,12,15,35,36163
,"Airport City",31110,1.54,16,566,1637,106292
,"Mirrors of Albion",17554,2.089,10,358,1683,80547
,"The Tribez",65873,1.718,15,437,4061,236415
,"Paradise Island 2",20632,1.761,15,174,1013,57520
,"Mystery Manor",178,1.376,11,6,18,1308
"05.02.2017",,132766,1.623,14,1564,8541,526277
,"Guns of Boom",226,0.091,7,17,32,35088
,"Airport City",31337,1.538,17,556,1644,106861
,"Mirrors of Albion",32274,2.452,15,328,2083,84935
,"The Tribez",55649,1.671,13,506,4046,242170
,"Paradise Island 2",13145,1.292,12,153,722,55885
,"Mystery Manor",136,1.046,11,4,14,1338
"06.02.2017",,102171,1.252,15,1086,6150,491263
,"Guns of Boom",405,0.315,4,49,89,28294
,"Airport City",23050,1.143,18,343,1121,98062
,"Mirrors of Albion",22962,1.922,15,221,1519,79051
,"The Tribez",43546,1.208,14,362,2812,232774
,"Paradise Island 2",12138,1.157,14,109,599,51787
,"Mystery Manor",71,0.772,7,2,10,1295
"07.02.2017",,83813,1.174,13,1151,5693,484956
,"Guns of Boom",660,0.189,11,27,55,29026
,"Airport City",31174,1.357,20,341,1316,96994
,"Mirrors of Albion",21335,2.564,10,314,1982,77296
,"The Tribez",23339,0.848,11,351,1949,229774
,"Paradise Island 2",7279,0.757,11,116,383,50568
,"Mystery Manor",26,0.616,4,2,8,1298
"08.02.2017",,72707,1.043,13,1003,5102,489238
,"Guns of Boom",385,0.158,8,29,46,29062
,"Airport City",26421,1.253,20,382,1254,100057
,"Mirrors of Albion",14154,1.808,10,217,1421,78601
,"The Tribez",24457,0.888,11,284,2049,230852
,"Paradise Island 2",7149,0.646,14,88,319,49356
,"Mystery Manor",141,0.992,11,3,13,1310
"09.02.2017",,67619,0.955,13,982,4704,492511
,"Guns of Boom",785,0.17,13,59,58,34168
,"Airport City",22342,1.158,18,365,1162,100354
,"Mirrors of Albion",13805,1.626,11,180,1261,77555
,"The Tribez",24200,0.808,11,261,1856,229699
,"Paradise Island 2",6393,0.712,12,113,352,49438
,"Mystery Manor",94,1.157,7,4,15,1297
"10.02.2017",,109672,1.315,14,1107,6681,508245
,"Guns of Boom",591,0.155,9,58,68,43963
,"Airport City",22386,1.063,18,376,1102,103622
,"Mirrors of Albion",19209,2.109,11,174,1594,75592
,"The Tribez",61548,1.498,15,392,3514,234628
,"Paradise Island 2",5880,0.792,10,102,389,49135
,"Mystery Manor",57,1.073,8,5,14,1305
"11.02.2017",,228357,2.028,18,1592,11022,543616
,"Guns of Boom",860,0.147,11,80,77,52377
,"Airport City",96320,2.91,26,656,3229,110954
,"Mirrors of Albion",20950,2.286,11,198,1772,77515
,"The Tribez",68850,1.731,14,479,4311,249084
,"Paradise Island 2",41356,3.114,21,178,1627,52241
,"Mystery Manor",21,0.415,4,1,6,1445
"12.02.2017",,187371,1.822,16,1708,10033,550630
,"Guns of Boom",1434,0.156,18,73,79,50676
,"Airport City",67351,2.28,24,670,2559,112221
,"Mirrors of Albion",12936,1.902,9,271,1520,79909
,"The Tribez",62548,1.606,13,481,4077,253929
,"Paradise Island 2",43052,3.412,18,211,1789,52440
,"Mystery Manor",50,0.619,6,2,9,1455
"13.02.2017",,113591,1.315,14,1218,6838,519867
,"Guns of Boom",1130,0.177,15,85,73,41202
,"Airport City",23662,1.128,18,446,1202,106556
,"Mirrors of Albion",15204,1.79,11,171,1357,75821
,"The Tribez",42536,1.157,13,374,2834,244988
,"Paradise Island 2",30995,2.721,17,136,1359,49942
,"Mystery Manor",64,0.957,4,6,13,1358
"14.02.2017",,113544,1.334,14,1171,6798,509709
,"Guns of Boom",1267,0.174,18,84,72,41315
,"Airport City",30342,1.632,15,448,1694,103830
,"Mirrors of Albion",22924,2.053,15,150,1519,73985
,"The Tribez",26616,0.835,11,349,2008,240436
,"Paradise Island 2",32188,3.058,16,134,1490,48719
,"Mystery Manor",208,1.053,12,6,15,1424
"15.02.2017",,80092,0.99,13,1033,5044,509417
,"Guns of Boom",1123,0.17,16,74,71,41828
,"Airport City",28588,1.401,16,429,1452,103665
,"Mirrors of Albion",14928,1.654,12,148,1229,74324
,"The Tribez",25020,0.696,13,277,1667,239622
,"Paradise Island 2",10263,1.246,12,96,604,48482
,"Mystery Manor",170,1.404,9,9,21,1496
"16.02.2017",,80047,1.008,13,1052,5110,506818
,"Guns of Boom",1180,0.202,14,80,82,40669
,"Airport City",23818,1.149,18,392,1172,101990
,"Mirrors of Albion",13341,1.498,12,146,1106,73811
,"The Tribez",25232,0.654,13,265,1563,238955
,"Paradise Island 2",16159,2.346,11,163,1170,49865
,"Mystery Manor",318,1.113,15,6,17,1528
"17.02.2017",,174864,1.76,16,1481,8947,508405
,"Guns of Boom",1008,0.181,13,61,75,41351
,"Airport City",51271,2.242,15,670,2344,104557
,"Mirrors of Albion",27879,2.354,16,158,1722,73157
,"The Tribez",77388,1.588,17,391,3784,238272
,"Paradise Island 2",17102,2.033,12,198,1009,49643
,"Mystery Manor",216,0.912,15,3,13,1425
"18.02.2017",,155945,1.584,16,1563,8340,526480
,"Guns of Boom",977,0.134,16,63,61,45391
,"Airport City",40381,1.847,16,620,2013,108975
,"Mirrors of Albion",20251,1.894,14,181,1418,74855
,"The Tribez",73703,1.57,17,474,3851,245337
,"Paradise Island 2",20312,1.931,15,220,974,50451
,"Mystery Manor",321,1.564,15,5,23,1471
"19.02.2017",,132878,1.442,15,1754,7706,534536
,"Guns of Boom",879,0.137,16,53,60,43841
,"Airport City",40823,1.865,16,691,2038,109290
,"Mirrors of Albion",22310,1.924,15,275,1505,78229
,"The Tribez",53488,1.289,15,513,3229,250424
,"Paradise Island 2",15216,1.682,13,219,862,51254
,"Mystery Manor",161,0.801,13,3,12,1498
"20.02.2017",,93447,1.086,15,1252,5527,508935
,"Guns of Boom",743,0.21,10,57,73,34690
,"Airport City",24596,1.169,18,408,1217,104129
,"Mirrors of Albion",14662,1.578,12,204,1178,74662
,"The Tribez",40945,1.009,14,437,2470,244738
,"Paradise Island 2",12368,1.184,15,145,583,49256
,"Mystery Manor",132,0.411,20,1,6,1460
"21.02.2017",,84824,0.976,15,1146,5009,512974
,"Guns of Boom",1044,0.243,10,143,100,41145
,"Airport City",31597,1.404,19,382,1451,103361
,"Mirrors of Albion",13692,1.71,11,159,1289,75391
,"The Tribez",26208,0.698,13,339,1696,243104
,"Paradise Island 2",12185,0.953,16,120,463,48594
,"Mystery Manor",98,0.725,10,3,10,1379
"22.02.2017",,85721,1.015,15,1235,5144,506647
,"Guns of Boom",1407,0.351,11,160,126,35849
,"Airport City",26531,1.246,20,383,1282,102849
,"Mirrors of Albion",15509,1.755,12,155,1320,75214
,"The Tribez",25454,0.702,13,386,1703,242592
,"Paradise Island 2",16733,1.443,17,150,704,48771
,"Mystery Manor",87,0.656,9,1,9,1372
"23.02.2017",,85906,1.04,14,1184,5252,504919
,"Guns of Boom",898,0.245,11,106,85,34740
,"Airport City",22501,1.024,19,347,1042,101744
,"Mirrors of Albion",15706,1.979,10,168,1482,74872
,"The Tribez",27761,0.719,13,378,1749,243088
,"Paradise Island 2",18831,1.794,15,182,881,49100
,"Mystery Manor",209,0.945,16,3,13,1375
"24.02.2017",,189743,1.664,19,1339,8463,508509
,"Guns of Boom",1032,0.234,11,89,90,38394
,"Airport City",81808,2.536,26,453,2611,102960
,"Mirrors of Albion",12961,1.728,10,175,1275,73787
,"The Tribez",75684,1.491,18,458,3634,243693
,"Paradise Island 2",18066,1.737,16,160,840,48351
,"Mystery Manor",193,0.982,15,4,13,1324
"25.02.2017",,171938,1.734,16,1606,9005,519271
,"Guns of Boom",952,0.244,9,94,104,42568
,"Airport City",60298,2.076,24,495,2173,104673
,"Mirrors of Albion",16600,2.952,7,283,2183,73939
,"The Tribez",71695,1.462,17,578,3638,248911
,"Paradise Island 2",22134,1.86,19,150,889,47789
,"Mystery Manor",259,1.294,15,6,18,1391
"26.02.2017",,153403,1.483,18,1550,7809,526514
,"Guns of Boom",704,0.193,9,70,80,41471
,"Airport City",60062,2.089,23,529,2214,105982
,"Mirrors of Albion",29478,2.427,16,189,1836,75634
,"The Tribez",54374,1.249,16,605,3163,253210
,"Paradise Island 2",8553,1.027,13,156,501,48785
,"Mystery Manor",232,1.047,15,1,15,1432
"27.02.2017",,102617,1.181,16,1217,5924,501602
,"Guns of Boom",634,0.171,11,61,57,33415
,"Airport City",31122,1.51,18,432,1509,99953
,"Mirrors of Albion",19303,1.813,14,153,1313,72426
,"The Tribez",43126,1.047,15,431,2585,246987
,"Paradise Island 2",8265,0.941,12,135,446,47406
,"Mystery Manor",168,0.989,11,5,14,1415
"28.02.2017",,89374,1.052,16,1132,5287,502454
,"Guns of Boom",614,0.194,9,55,65,33427
,"Airport City",23931,1.253,18,380,1266,101077
,"Mirrors of Albion",24750,2.206,15,155,1622,73531
,"The Tribez",29006,0.753,15,400,1854,246189
,"Paradise Island 2",10999,1.004,16,138,471,46896
,"Mystery Manor",74,0.675,6,4,9,1334
"01.03.2017",,87988,1.153,13,1137,5792,502130
,"Guns of Boom",785,0.262,9,58,86,32870
,"Airport City",22284,1.069,18,344,1111,103897
,"Mirrors of Albion",15559,1.967,10,162,1461,74261
,"The Tribez",38392,1.089,12,424,2647,243107
,"Paradise Island 2",10906,1.027,16,147,479,46653
,"Mystery Manor",63,0.596,6,2,8,1342
"02.03.2017",,78386,1.141,12,1048,5716,501130
,"Guns of Boom",520,0.188,9,52,61,32397
,"Airport City",19652,0.95,18,304,991,104362
,"Mirrors of Albion",14068,2.035,10,160,1508,74112
,"The Tribez",36625,1.127,11,394,2731,242345
,"Paradise Island 2",7364,0.899,12,137,419,46589
,"Mystery Manor",157,0.453,16,1,6,1325
"03.03.2017",,173199,1.743,16,1477,8837,506869
,"Guns of Boom",689,0.245,8,52,83,33876
,"Airport City",63621,2.412,19,564,2574,106725
,"Mirrors of Albion",15697,1.704,12,154,1292,75841
,"The Tribez",73407,1.671,15,525,4048,242319
,"Paradise Island 2",19569,1.768,15,179,827,46768
,"Mystery Manor",217,0.97,17,3,13,1340
"04.03.2017",,166400,1.717,16,1748,9064,528013
,"Guns of Boom",559,0.217,6,53,85,39169
,"Airport City",47094,1.954,18,600,2158,110436
,"Mirrors of Albion",17039,1.991,11,192,1566,78636
,"The Tribez",80385,1.687,17,656,4221,250189
,"Paradise Island 2",21233,2.117,16,243,1019,48134
,"Mystery Manor",91,1.035,7,4,15,1449
"05.03.2017",,138363,1.55,15,1900,8292,535109
,"Guns of Boom",772,0.239,9,68,87,36353
,"Airport City",38887,1.795,16,645,2002,111542
,"Mirrors of Albion",16482,2.034,11,297,1633,80294
,"The Tribez",66576,1.46,16,689,3758,257382
,"Paradise Island 2",15430,1.648,14,197,792,48060
,"Mystery Manor",216,1.353,11,4,20,1478
"06.03.2017",,106209,1.324,14,1331,6708,506656
,"Guns of Boom",619,0.269,8,49,74,27473
,"Airport City",27484,1.2,21,358,1268,105659
,"Mirrors of Albion",16706,1.947,11,183,1474,75687
,"The Tribez",46585,1.256,13,567,3139,249978
,"Paradise Island 2",14700,1.59,16,168,738,46424
,"Mystery Manor",114,1.045,7,6,15,1435
"07.03.2017",,86753,1.086,14,1200,5477,504360
,"Guns of Boom",560,0.221,9,47,61,27578
,"Airport City",23633,1.13,17,336,1177,104199
,"Mirrors of Albion",26539,2.184,16,170,1626,74461
,"The Tribez",28093,0.866,11,471,2164,249775
,"Paradise Island 2",7836,0.932,13,172,437,46889
,"Mystery Manor",93,0.823,8,4,12,1458
"08.03.2017",,89549,1.505,11,1167,7611,505767
,"Guns of Boom",645,0.225,10,34,63,28038
,"Airport City",24317,1.128,18,320,1175,104156
,"Mirrors of Albion",19404,1.923,14,171,1442,74972
,"The Tribez",37205,1.778,7,500,4442,249784
,"Paradise Island 2",7758,1.002,12,139,475,47409
,"Mystery Manor",221,0.994,15,3,14,1408
"09.03.2017",,86150,1.291,12,1157,6451,499565
,"Guns of Boom",503,0.202,10,27,50,24768
,"Airport City",29585,1.235,20,345,1250,101196
,"Mirrors of Albion",15690,1.845,11,150,1357,73548
,"The Tribez",32361,1.322,9,486,3301,249636
,"Paradise Island 2",7871,0.984,13,147,482,48999
,"Mystery Manor",139,0.776,11,2,11,1418
"10.03.2017",,181688,1.695,19,1487,8565,505450
,"Guns of Boom",545,0.186,11,30,49,26381
,"Airport City",89058,2.568,28,461,2656,103417
,"Mirrors of Albion",15833,2.148,10,159,1572,73176
,"The Tribez",62792,1.429,16,594,3567,249581
,"Paradise Island 2",13250,1.307,19,233,673,51504
,"Mystery Manor",209,3.451,4,10,48,1391
"11.03.2017",,194201,1.834,18,1841,9542,520259
,"Guns of Boom",698,0.199,11,42,61,30579
,"Airport City",61135,2.041,23,496,2190,107303
,"Mirrors of Albion",32176,2.635,16,192,1963,74498
,"The Tribez",77439,1.572,18,686,3980,253189
,"Paradise Island 2",22571,2.454,17,418,1307,53268
,"Mystery Manor",182,2.883,4,7,41,1422
"12.03.2017",,166529,1.641,18,1830,8676,528608
,"Guns of Boom",821,0.221,12,47,66,29813
,"Airport City",61724,2.123,23,570,2300,108362
,"Mirrors of Albion",24233,2.034,15,185,1567,77025
,"The Tribez",66239,1.445,16,674,3739,258819
,"Paradise Island 2",13262,1.829,14,336,971,53085
,"Mystery Manor",252,2.194,8,18,33,1504
"13.03.2017",,109104,1.42,14,1549,7192,506632
,"Guns of Boom",448,0.245,8,26,58,23719
,"Airport City",28264,1.213,21,454,1272,104864
,"Mirrors of Albion",20686,2.549,11,246,1871,73391
,"The Tribez",44662,1.078,15,509,2712,251518
,"Paradise Island 2",14878,2.454,12,308,1266,51592
,"Mystery Manor",165,0.84,14,6,13,1548
"14.03.2017",,76552,1.07,13,1320,5404,505185
,"Guns of Boom",551,0.207,11,27,48,23163
,"Airport City",21863,1.04,19,409,1089,104730
,"Mirrors of Albion",14354,1.917,9,171,1427,74421
,"The Tribez",27458,0.725,13,445,1815,250474
,"Paradise Island 2",12178,1.98,12,260,1003,50650
,"Mystery Manor",148,1.259,7,8,22,1747
"15.03.2017",,87976,1.457,11,1220,7306,501284
,"Guns of Boom",413,0.153,12,20,35,22873
,"Airport City",21835,1.039,19,388,1070,102973
,"Mirrors of Albion",14768,2.043,10,128,1503,73570
,"The Tribez",39907,1.548,9,472,3867,249814
,"Paradise Island 2",10767,1.63,13,210,816,50051
,"Mystery Manor",286,0.749,19,2,15,2003
"16.03.2017",,82097,1.271,12,1113,6318,497188
,"Guns of Boom",513,0.236,10,25,54,22905
,"Airport City",22721,1.082,18,347,1095,101211
,"Mirrors of Albion",15920,1.885,11,123,1362,72264
,"The Tribez",32414,1.239,10,442,3087,249208
,"Paradise Island 2",10339,1.414,15,168,702,49659
,"Mystery Manor",191,0.927,11,8,18,1941
"17.03.2017",,99149,1.065,17,1121,5364,503803
,"Guns of Boom",477,0.206,9,23,51,24709
,"Airport City",39770,1.163,28,336,1199,103072
,"Mirrors of Albion",15125,1.73,12,116,1249,72200
,"The Tribez",31864,0.859,13,513,2171,252831
,"Paradise Island 2",11659,1.361,18,126,671,49302
,"Mystery Manor",256,1.362,10,7,23,1689
"18.03.2017",,230778,2.158,19,1894,11402,528354
,"Guns of Boom",577,0.197,10,29,58,29452
